"Betweenness unDir","Bridging unDir","Centroid unDir","Closeness unDir","Degree unDir","Eccentricity unDir","EigenVector unDir","name","Radiality unDir","selected","shared name","Stress unDir"
"4481.418980841931","90.06366924759499","-157.0","7.704160246533128E-4","25.0","0.2","0.03170849608715483","IKBKB","6.605166051660516","false","IKBKB","41148.0"
"395.1001137917074","40.866432291459276","-248.0","7.102272727272727E-4","14.0","0.2","0.028776599485353462","PRKCQ","6.402214022140221","false","PRKCQ","5438.0"
"1920.6506593861893","28.05880096601448","-158.0","7.78816199376947E-4","48.0","0.2","0.1535922441921083","MAP4K4","6.630996309963099","false","MAP4K4","26054.0"
"1359.0806673406132","69.08247760652559","-213.0","7.374631268436578E-4","20.0","0.2","0.027442081801774543","CHUK","6.498154981549815","false","CHUK","16230.0"
"570.6835237722248","74.5647894812421","-320.0","6.915629322268327E-4","13.0","0.2","0.021056169077128095","EIF2AK2","6.332103321033211","false","EIF2AK2","6866.0"
"19228.790408855297","34.61683473365462","-237.0","7.230657989877079E-4","46.0","0.2","0.027352532690384287","TGFBR1","6.448339483394834","false","TGFBR1","190712.0"
"198.96541326582556","73.55991105455335","-437.0","5.797101449275362E-4","5.0","0.16666666666666666","0.0024377613689654607","TBK1","5.817343173431734","false","TBK1","2354.0"
"2931.495210641379","39.24375767193611","-235.0","7.347538574577516E-4","25.0","0.2","0.04966566313162395","MAP3K1","6.488929889298893","false","MAP3K1","28358.0"
"4773.059989688236","54.85106151798014","-334.0","6.557377049180328E-4","23.0","0.2","0.01156813635292856","PPP2R1A","6.186346863468635","false","PPP2R1A","40124.0"
"1468.1348609115269","45.43048191625495","-189.0","7.507507507507507E-4","26.0","0.2","0.038835143389710836","PRKDC","6.5424354243542435","false","PRKDC","17750.0"
"995.8279752465929","41.355309126962176","-211.0","7.267441860465116E-4","23.0","0.2","0.026980030172971535","ATM","6.461254612546125","false","ATM","13832.0"
"14217.303477959043","31.56872623991842","-57.0","8.410428931875525E-4","76.0","0.25","0.09882136872285875","CDC2","6.806273062730627","false","CDC2","155466.0"
"2969.8038736255407","61.99391262932913","-187.0","7.598784194528875E-4","26.0","0.2","0.03284551543194378","CSNK2A2","6.571955719557195","false","CSNK2A2","31018.0"
"7732.726494701672","23.73386329594664","-139.0","7.905138339920949E-4","63.0","0.2","0.0950782057436478","MAPK14","6.666051660516605","false","MAPK14","82930.0"
"4648.172595722835","33.202726078603575","-140.0","7.898894154818325E-4","56.0","0.25","0.14264601099708202","PTK2B","6.6642066420664205","false","PTK2B","58042.0"
"18765.82608231875","29.529392408834628","-17.0","8.748906386701663E-4","84.0","0.2","0.13202891378509876","SRC","6.891143911439114","false","SRC","177792.0"
"14823.635509261172","33.25993298995916","-66.0","8.312551953449709E-4","84.0","0.2","0.1897529135880957","FYN","6.780442804428044","false","FYN","147126.0"
"2690.8396482515477","37.54610449703762","-188.0","7.513148009015778E-4","37.0","0.2","0.06903541163187506","RASA1","6.544280442804428","false","RASA1","31802.0"
"2626.3978390838456","32.46632769168571","-196.0","7.564296520423601E-4","39.0","0.2","0.07502993651121251","JAK2","6.560885608856089","false","JAK2","33900.0"
"6079.092008325661","30.75890481953079","-142.0","7.886435331230284E-4","50.0","0.2","0.06363466734171846","PDPK1","6.660516605166052","false","PDPK1","64564.0"
"3458.8616182298906","26.32113787565565","-183.0","7.639419404125286E-4","46.0","0.2","0.14625989823092087","ZAP70","6.584870848708487","false","ZAP70","35594.0"
"2672.2867289193164","41.216422099728426","-212.0","7.380073800738007E-4","33.0","0.2","0.04444332026980972","ERBB2","6.5","false","ERBB2","28434.0"
"923.3502456857336","26.16344938803023","-175.0","7.686395080707148E-4","32.0","0.2","0.0820751422563442","SYK","6.599630996309963","false","SYK","15030.0"
"6393.832752364373","42.931209101389854","-111.0","8.084074373484236E-4","48.0","0.2","0.08970755949474572","LCK","6.717712177121771","false","LCK","69036.0"
"7855.9973422505345","44.265025905462856","-87.0","8.244023083264633E-4","56.0","0.2","0.08694182546818262","EGFR","6.7619926199261995","false","EGFR","90730.0"
"429.5205296071737","13.493804037418794","-267.0","7.092198581560284E-4","26.0","0.2","0.04864180498269207","JAK1","6.398523985239852","false","JAK1","6908.0"
"63.620122740125666","12.185804665999921","-336.0","6.76132521974307E-4","13.0","0.2","0.029133675156498326","MATK","6.271217712177122","false","MATK","1422.0"
"618.3647185530862","19.77305885947314","-314.0","6.765899864682003E-4","24.0","0.2","0.0356714036716687","ERBB3","6.273062730627307","false","ERBB3","7644.0"
"943.659570700581","22.119423048689775","-313.0","6.76132521974307E-4","27.0","0.2","0.034384672245283396","FLT1","6.271217712177122","false","FLT1","11540.0"
"3314.91355237194","36.53806057160156","-148.0","7.849293563579278E-4","31.0","0.2","0.06313119943170464","PRKCD","6.649446494464945","false","PRKCD","35674.0"
"202.09079454780525","11.04463786382867","-351.0","6.596306068601583E-4","19.0","0.2","0.03049430983077954","JAK3","6.202952029520295","false","JAK3","3052.0"
"3200.7169687340006","29.347389899368963","-128.0","7.974481658692185E-4","49.0","0.2","0.09831505994537057","LYN","6.686346863468635","false","LYN","49390.0"
"224.98165785785778","20.471977910057984","-295.0","6.882312456985547E-4","16.0","0.2","0.03683031688327728","FRAP1","6.319188191881919","false","FRAP1","3390.0"
"19992.571220048434","23.94398069165117","17.0","8.880994671403197E-4","101.0","0.2","0.18411482928945666","MAPK1","6.922509225092251","false","MAPK1","206686.0"
